AN00,AN01,AN02,AN03,AN04,AN05,AN06,AN07,AN08,AN09,AN10,AN11,AN12,AN13,AN14,AN15,AN16,AN17,AN18,AN19,AN20,AN21,AN22,AN23,AN24,AN25,AN26,AN27,AN28,AN29,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,BN00,BN01,BN02,BN03,BN04,BN05,BN06,BN07,BN08,BN09,BN10,BN11,BN12,BN13,BN14,BN15,BN16,BN17,BN18,BN19,BN20,BN21,BN22,BN23,BN24,BN25,BN26,BN27,BN28,BN29,Detector,sm,ADCSUM,MXmax,MXavg,MXRatio,Amax,Aavg,ARatio,Bmax,Bavg,BRatio,Asum,MXsum,Bsum
10,14,14,25,25,19,17,13,14,12,14,13,13,14,13,12,10,10,12,13,8,10,12,11,9,11,10,10,8,11,11,20,43,151,177,118,75,55,47,39,35,31,27,26,24,22,23,21,21,19,20,17,18,17,18,16,15,13,17,13,11,14,22,81,95,67,49,44,43,34,30,26,25,22,20,17,14,17,18,17,16,17,14,16,15,14,15,13,12,13,18,0,2347,177,38.3,0.21638418079096045,25,12.9,0.516,95,27.033333333333335,0.28456140350877196,387,1149,811
18,24,21,20,19,23,24,22,22,27,26,22,22,19,17,15,15,13,14,13,14,13,15,12,11,11,13,11,12,12,12,14,15,15,21,26,45,48,62,101,108,103,89,75,58,46,40,33,32,29,29,24,25,24,21,21,21,21,19,18,10,8,11,10,12,12,14,13,18,26,29,30,31,27,25,22,19,19,27,30,29,24,19,16,16,14,16,13,14,12,19,0,2281,108,39.833333333333336,0.3688271604938272,27,17.333333333333332,0.6419753086419753,31,18.866666666666667,0.6086021505376344,520,1195,566
23,30,27,24,21,38,34,24,20,22,16,17,16,15,13,13,14,14,12,12,12,12,12,13,11,12,12,12,10,11,17,25,23,25,55,147,152,108,85,63,54,50,46,40,34,30,31,29,27,28,26,23,22,21,19,17,17,18,16,17,12,10,13,9,16,26,30,23,21,19,18,19,22,19,18,18,19,23,25,29,32,26,24,20,19,16,16,14,14,16,20,0,2373,152,42.166666666666664,0.2774122807017544,38,17.4,0.45789473684210524,32,19.533333333333335,0.6104166666666667,522,1265,586
21,38,36,37,35,28,26,20,21,17,21,19,18,14,15,13,14,13,14,12,14,12,12,13,10,11,11,10,11,12,13,21,25,35,38,39,31,27,30,30,31,37,33,32,28,28,24,22,27,25,20,20,18,16,14,15,16,16,15,13,10,11,9,11,13,12,13,11,13,12,12,16,14,20,19,19,20,26,34,36,28,23,21,17,15,16,16,14,12,13,21,0,1793,39,24.633333333333333,0.6316239316239316,38,18.266666666666666,0.4807017543859649,36,16.866666666666667,0.46851851851851856,548,739,506
19,33,30,32,35,32,28,23,21,23,21,20,20,16,17,16,16,17,17,14,15,16,17,14,12,14,10,14,12,11,12,15,14,17,21,20,19,17,18,19,20,20,20,21,20,18,20,26,32,30,29,34,29,24,20,16,16,13,15,15,11,10,9,12,9,10,11,10,9,11,10,9,9,9,9,13,10,12,14,12,17,15,18,14,13,12,12,10,11,12,157,5,1538,34,20.333333333333332,0.5980392156862745,35,19.5,0.5571428571428572,18,11.433333333333334,0.6351851851851852,585,610,343
14,33,29,31,26,21,17,19,15,17,14,12,16,15,14,15,16,14,14,9,11,12,12,10,13,11,11,11,11,9,18,30,33,49,57,44,36,33,27,24,23,27,36,41,51,62,52,43,39,31,30,28,25,19,20,18,19,18,17,15,13,12,11,11,11,13,12,13,11,11,12,13,15,17,23,26,25,27,27,27,28,26,21,16,13,14,14,12,13,13,161,5,1937,62,32.166666666666664,0.5188172043010753,33,15.733333333333333,0.47676767676767673,28,16.666666666666668,0.5952380952380952,472,965,500
41,66,58,40,31,24,21,21,20,21,18,20,18,17,16,15,14,15,14,15,15,13,13,11,12,15,12,10,13,10,77,131,111,78,57,44,38,34,33,37,41,39,38,35,33,30,29,34,50,48,38,31,25,25,23,21,18,21,16,16,14,17,18,16,13,12,11,10,11,9,12,13,13,14,14,12,13,16,24,25,22,18,15,13,10,10,13,13,11,13,194,6,2305,131,41.7,0.31832061068702294,66,20.966666666666665,0.31767676767676767,25,14.166666666666666,0.5666666666666667,629,1251,425
21,31,29,25,20,21,19,14,15,14,13,13,14,12,11,15,13,12,12,12,11,10,11,10,12,11,12,11,11,11,16,21,20,20,29,30,25,24,28,28,25,21,22,21,22,21,17,18,15,17,15,12,13,14,15,12,15,10,11,10,9,10,10,12,10,12,11,12,13,14,14,13,16,21,25,31,30,26,24,27,28,22,18,19,14,15,16,12,15,14,296,9,1526,30,18.9,0.63,31,14.866666666666667,0.4795698924731183,31,17.1,0.5516129032258065,446,567,513
37,74,60,39,29,25,22,19,17,18,18,16,16,15,15,15,12,14,12,14,13,14,12,11,11,12,12,8,11,13,29,52,47,38,37,36,31,27,29,30,29,27,23,21,22,20,18,16,14,14,15,13,12,14,11,14,12,15,9,13,9,10,11,13,12,13,15,12,20,29,31,32,30,30,29,26,27,24,27,31,30,26,21,17,19,17,16,14,13,15,298,9,1911,52,22.933333333333334,0.441025641025641,74,20.133333333333333,0.27207207207207207,32,20.633333333333333,0.6447916666666667,604,688,619
20,38,39,32,23,19,16,14,14,13,13,13,13,12,13,12,12,10,14,12,11,10,11,9,11,10,10,10,11,10,21,56,77,60,46,39,35,33,32,28,25,24,21,20,18,15,18,16,12,15,14,12,12,15,13,12,13,9,13,11,9,13,16,14,17,14,13,21,37,34,33,31,31,29,24,24,22,20,21,18,16,15,16,16,15,14,14,14,13,11,299,9,1775,77,24.5,0.3181818181818182,39,15.166666666666666,0.3888888888888889,37,19.5,0.527027027027027,455,735,585
58,92,69,47,38,39,47,59,50,40,32,28,24,25,22,20,20,18,18,17,18,15,15,14,16,13,13,13,12,13,23,34,27,22,24,28,56,89,86,64,48,37,36,31,29,32,28,33,38,34,26,24,22,21,19,19,16,18,16,16,9,9,13,11,10,8,11,11,15,14,10,11,11,12,12,14,15,18,23,22,19,14,15,13,10,12,12,10,14,9,387,12,2288,89,33.2,0.3730337078651686,92,30.166666666666668,0.3278985507246377,23,12.9,0.5608695652173913,905,996,387
14,18,21,20,17,15,18,16,18,17,12,16,14,15,11,15,12,12,12,13,13,13,10,11,10,12,13,12,11,9,15,19,21,20,20,19,18,22,25,28,26,25,27,27,27,31,30,35,37,37,32,30,27,20,19,17,16,16,15,14,11,12,10,10,10,11,13,9,15,10,11,11,14,12,12,13,15,17,22,21,19,19,14,14,11,14,17,11,12,12,44,1,1537,37,23.833333333333332,0.6441441441441441,21,14.0,0.6666666666666666,22,13.4,0.6090909090909091,420,715,402
11,10,22,42,48,39,35,30,26,23,24,28,26,25,24,19,19,17,20,19,17,16,15,16,12,14,13,13,13,12,9,11,17,39,44,40,40,38,35,30,39,46,52,52,48,43,39,39,47,51,47,39,30,27,26,25,19,22,17,17,8,12,12,12,10,13,12,12,13,12,13,16,16,15,18,17,15,15,19,23,19,16,15,15,16,12,11,13,11,12,44,1,2099,52,34.266666666666666,0.658974358974359,48,21.6,0.45,23,14.1,0.6130434782608696,648,1028,423
21,26,21,21,24,20,18,20,19,18,17,13,16,12,14,13,13,12,13,12,13,11,12,14,9,12,12,12,10,9,12,11,11,12,12,14,15,17,22,22,22,34,35,31,30,30,28,25,21,21,17,15,17,12,11,14,16,12,13,12,9,11,10,8,9,12,9,10,9,12,11,14,16,15,18,21,23,28,30,28,26,21,16,15,17,15,14,13,13,14,74,2,1488,35,18.8,0.5371428571428571,26,15.233333333333333,0.5858974358974358,30,15.566666666666666,0.5188888888888888,457,564,467
17,18,18,15,12,12,11,11,12,11,11,11,13,11,13,10,11,13,10,10,11,11,9,10,11,10,10,12,10,10,42,66,54,45,38,33,31,28,25,28,24,25,27,28,27,26,26,23,23,22,21,18,17,16,15,15,15,15,11,15,15,17,14,13,18,14,14,13,14,15,13,18,19,22,19,20,21,21,22,26,26,23,19,13,16,15,16,13,14,14,74,2,1670,66,26.633333333333333,0.4035353535353535,18,11.8,0.6555555555555556,26,17.233333333333334,0.6628205128205129,354,799,517
14,17,15,16,13,11,12,11,9,13,10,10,10,9,11,10,10,10,10,12,9,9,12,10,11,11,10,10,11,10,48,70,53,36,26,24,22,17,17,16,14,15,15,14,16,14,15,13,15,12,12,11,12,13,13,12,14,12,9,11,9,10,11,9,9,10,9,10,12,10,10,10,12,11,10,12,10,10,11,11,9,18,40,61,55,45,30,26,23,18,217,7,1458,70,19.7,0.2814285714285714,17,11.2,0.6588235294117647,61,17.7,0.2901639344262295,336,591,531
12,11,10,18,26,30,30,26,25,21,18,14,18,13,12,13,14,12,12,11,12,11,12,11,13,11,13,12,11,13,12,11,20,32,46,39,30,21,19,17,16,17,15,13,13,11,13,11,12,12,11,13,12,12,13,9,11,11,12,13,26,43,39,31,23,19,17,16,15,17,15,15,13,13,12,13,11,14,11,11,10,11,11,8,10,12,11,11,11,10,217,7,1441,46,16.566666666666666,0.3601449275362319,30,15.5,0.5166666666666667,43,15.966666666666667,0.37131782945736436,465,497,479
11,8,9,10,10,11,12,11,8,10,14,31,50,43,31,21,20,18,16,15,13,13,16,14,12,13,12,13,14,12,14,11,9,10,9,8,14,10,16,36,87,92,68,50,37,30,25,26,21,21,16,19,17,16,17,15,14,14,18,15,11,9,10,9,11,8,11,10,12,32,72,73,60,45,33,28,23,22,19,19,18,19,15,16,13,13,17,15,15,12,225,7,1916,92,25.166666666666668,0.27355072463768115,50,16.366666666666667,0.32733333333333337,73,22.333333333333332,0.3059360730593607,491,755,670
9,10,10,10,8,11,11,9,8,9,10,10,9,9,10,9,11,10,12,22,57,58,48,54,58,52,41,32,31,27,11,8,10,12,11,11,9,10,8,10,10,11,11,10,9,9,8,10,10,34,100,105,88,114,133,120,90,72,65,62,10,10,11,8,13,11,13,10,8,11,9,9,9,10,11,10,11,9,9,10,16,16,16,17,21,18,14,14,15,15,248,8,2200,133,39.03333333333333,0.29348370927318296,58,22.166666666666668,0.382183908045977,21,12.133333333333333,0.5777777777777777,665,1171,364
11,9,10,8,9,11,10,10,11,11,9,9,11,8,11,10,8,10,10,7,9,13,11,12,8,13,18,24,20,16,8,9,9,8,10,10,10,10,10,12,11,11,10,11,10,7,10,10,10,18,29,32,31,25,22,29,96,151,111,76,8,12,9,10,8,13,11,10,9,11,7,10,10,9,10,13,12,8,10,11,21,20,20,16,16,16,30,45,33,25,248,8,1586,151,26.866666666666667,0.17792494481236204,24,11.233333333333333,0.4680555555555555,45,14.766666666666667,0.3281481481481482,337,806,443
30,31,21,19,15,15,16,12,15,13,12,12,13,11,12,10,10,10,10,11,13,11,11,10,9,12,11,9,10,9,190,233,160,108,83,75,63,56,49,48,48,42,40,34,36,30,29,28,25,22,23,21,22,19,20,17,17,14,13,15,34,44,36,29,26,24,24,21,24,26,39,40,47,71,66,61,51,45,41,36,28,29,24,21,19,20,20,18,17,17,251,8,2981,233,52.666666666666664,0.22603719599427752,31,13.433333333333334,0.43333333333333335,71,33.266666666666666,0.4685446009389671,403,1580,998
21,51,58,48,39,37,39,56,59,48,42,33,31,30,27,23,23,23,20,22,18,16,15,17,15,14,13,13,12,14,11,18,19,18,18,21,29,71,88,76,70,70,76,79,70,69,80,79,78,67,55,47,41,36,33,30,25,26,24,23,11,9,7,9,11,9,9,12,11,12,12,12,13,18,16,21,22,29,38,37,37,31,24,21,18,15,17,16,15,16,251,8,2852,88,48.233333333333334,0.5481060606060606,59,29.233333333333334,0.49548022598870056,38,17.6,0.46315789473684216,877,1447,528
