AN00,AN01,AN02,AN03,AN04,AN05,AN06,AN07,AN08,AN09,AN10,AN11,AN12,AN13,AN14,AN15,AN16,AN17,AN18,AN19,AN20,AN21,AN22,AN23,AN24,AN25,AN26,AN27,AN28,AN29,M00,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,BN00,BN01,BN02,BN03,BN04,BN05,BN06,BN07,BN08,BN09,BN10,BN11,BN12,BN13,BN14,BN15,BN16,BN17,BN18,BN19,BN20,BN21,BN22,BN23,BN24,BN25,BN26,BN27,BN28,BN29,Detector,sm,ADCSUM,MXmax,MXavg,MXRatio,Amax,Aavg,ARatio,Bmax,Bavg,BRatio,Asum,MXsum,Bsum
16,27,25,20,15,18,17,17,22,32,29,23,20,17,17,17,15,12,13,15,15,13,13,13,12,11,13,13,9,12,25,53,47,35,32,31,32,42,67,119,108,72,55,43,39,46,43,36,28,27,26,23,23,20,21,18,17,20,17,16,11,14,12,12,14,13,14,13,20,24,25,21,16,15,16,17,14,13,14,12,13,13,14,13,10,11,11,11,10,11,180,6,2119,119,39.36666666666667,0.330812324929972,32,17.033333333333335,0.5322916666666667,25,14.233333333333333,0.5693333333333332,511,1181,427
15,28,27,27,28,23,17,18,18,22,21,19,15,15,19,14,16,16,14,15,15,13,11,13,14,12,12,11,13,10,21,51,52,50,50,44,42,42,56,79,76,59,50,52,50,50,49,40,33,28,24,27,24,25,19,21,18,16,17,17,12,10,12,12,12,13,12,12,17,17,18,16,16,16,20,17,18,17,13,11,12,13,12,11,12,12,12,9,12,11,183,6,2100,79,39.4,0.49873417721518987,28,17.033333333333335,0.6083333333333334,20,13.566666666666666,0.6783333333333333,511,1182,407
20,24,27,23,19,14,18,16,16,15,16,15,16,13,13,12,13,12,11,11,12,11,12,9,12,10,11,8,12,10,66,110,115,105,81,80,121,115,89,67,66,74,66,55,49,52,47,43,36,35,34,28,29,25,25,24,23,21,18,17,14,23,23,22,21,23,36,37,29,26,29,36,36,27,29,35,39,31,26,31,33,32,24,24,20,20,17,16,16,15,185,6,2937,121,57.2,0.4727272727272728,27,14.366666666666667,0.5320987654320988,39,26.333333333333332,0.6752136752136751,431,1716,790
49,56,39,26,21,19,16,17,18,13,14,14,11,13,15,12,12,11,13,14,13,13,14,11,12,10,9,11,11,10,83,105,75,53,44,41,41,37,33,34,34,34,31,26,23,22,21,21,17,18,19,16,15,15,16,14,14,14,13,13,17,18,17,14,16,16,21,22,22,31,49,56,46,42,45,45,38,37,33,30,29,28,24,22,21,19,17,19,17,17,222,7,2287,105,31.4,0.299047619047619,56,17.233333333333334,0.30773809523809526,56,27.6,0.4928571428571429,517,942,828
19,39,38,31,28,40,60,66,61,48,39,33,28,28,24,27,27,23,21,21,17,16,15,15,17,15,13,15,13,15,11,13,13,10,14,15,26,25,31,25,24,25,32,45,48,65,89,75,58,50,46,35,29,28,27,24,22,21,20,19,10,10,10,11,10,10,10,10,10,10,9,11,12,13,17,24,33,33,36,41,41,33,27,20,20,20,17,17,16,12,224,7,2370,89,32.166666666666664,0.36142322097378277,66,28.4,0.4303030303030303,41,18.433333333333334,0.44959349593495934,852,965,553
32,109,111,82,58,44,40,35,28,26,25,22,20,20,20,17,18,15,17,17,16,15,16,15,15,14,12,11,13,12,13,26,35,34,37,48,64,59,45,39,44,49,56,53,41,34,30,26,23,22,20,18,19,18,16,17,13,14,12,18,9,10,10,12,12,12,19,17,16,21,38,61,87,96,80,63,51,38,33,30,29,25,27,24,23,19,18,19,17,15,259,8,2769,64,31.433333333333334,0.49114583333333334,111,29.833333333333332,0.26876876876876876,96,31.033333333333335,0.3232638888888889,895,943,931
22,30,36,37,32,28,30,36,37,39,32,27,24,18,17,18,15,17,14,13,14,15,12,13,13,14,12,11,13,13,12,9,16,18,18,22,40,73,103,116,99,66,48,41,35,30,28,26,23,23,22,21,18,18,18,19,17,13,16,13,10,11,11,10,13,9,11,18,17,26,25,25,25,28,30,27,22,20,22,22,19,17,15,12,14,16,14,12,10,13,260,8,2197,116,34.03333333333333,0.2933908045977011,39,21.733333333333334,0.5572649572649573,30,17.466666666666665,0.5822222222222222,652,1021,524
10,9,11,11,14,8,9,12,10,12,15,16,21,28,31,33,24,20,21,21,20,17,14,15,14,15,14,12,10,14,24,36,47,62,59,43,32,27,24,20,19,19,17,18,17,16,13,17,14,14,15,13,13,13,12,12,11,9,10,12,11,11,9,10,9,9,9,9,10,9,10,10,9,11,14,15,16,22,32,40,47,44,36,26,23,19,18,18,15,14,262,8,1674,62,21.933333333333334,0.35376344086021505,33,16.033333333333335,0.48585858585858593,47,17.833333333333332,0.37943262411347517,481,658,535
35,47,31,24,35,30,25,19,18,19,16,16,17,14,15,16,12,12,15,13,12,13,13,11,9,12,11,13,13,11,83,110,79,84,156,144,102,71,60,48,49,58,86,81,62,51,44,40,41,42,43,42,39,36,31,28,27,25,23,20,17,21,18,24,39,38,30,24,21,21,22,35,65,61,48,43,38,39,46,59,76,91,86,74,59,46,37,30,28,27,282,9,3615,156,60.166666666666664,0.38568376068376065,47,18.233333333333334,0.3879432624113475,91,42.1,0.46263736263736266,547,1805,1263
10,28,36,41,38,34,27,28,23,19,17,19,17,18,18,16,16,16,16,14,15,13,14,13,11,13,9,12,12,9,11,21,27,29,33,33,34,34,32,26,26,24,25,31,46,47,40,50,49,44,42,32,28,22,23,20,19,18,17,19,8,10,10,11,11,11,11,11,11,11,10,11,13,13,20,21,24,29,30,31,31,29,22,19,15,15,15,15,15,14,283,9,1971,50,30.066666666666666,0.6013333333333333,41,19.066666666666666,0.46504065040650405,31,16.566666666666666,0.5344086021505376,572,902,497
29,38,32,25,24,22,23,22,21,17,19,16,16,15,15,15,13,16,13,12,13,12,11,11,10,12,11,11,11,11,24,32,27,26,26,30,32,34,34,35,32,33,31,37,39,40,44,41,38,34,31,27,24,21,19,18,20,17,14,18,11,9,10,13,10,11,11,15,11,12,12,12,13,15,16,17,22,25,23,25,25,22,17,14,13,13,14,14,12,10,284,9,1841,44,29.266666666666666,0.6651515151515152,38,17.2,0.4526315789473684,25,14.9,0.596,516,878,447
28,59,51,35,27,24,22,21,18,18,18,14,17,17,15,14,13,11,14,13,12,12,11,14,11,12,12,9,11,12,48,105,92,69,54,48,53,62,56,46,39,39,43,44,50,48,42,37,34,29,27,27,24,24,20,19,17,19,18,17,13,14,14,14,14,13,14,22,22,20,19,21,26,29,42,43,38,34,32,30,34,33,31,26,22,21,18,15,16,15,285,9,2520,105,41.666666666666664,0.3968253968253968,59,18.833333333333332,0.3192090395480226,43,23.5,0.5465116279069767,565,1250,705
11,9,8,10,11,11,9,9,12,10,9,9,9,9,14,14,22,26,18,16,14,13,14,13,13,12,11,12,11,9,9,11,10,11,10,9,13,11,9,10,9,9,9,13,19,45,145,151,106,90,82,59,47,37,36,30,30,25,24,24,9,12,10,11,12,11,10,12,8,11,9,12,9,11,12,17,37,37,31,32,34,27,21,17,16,18,13,15,14,14,321,10,1963,151,36.43333333333333,0.24128035320088298,26,12.266666666666667,0.47179487179487184,37,16.733333333333334,0.4522522522522523,368,1093,502
20,42,45,48,38,42,55,45,32,28,21,23,22,17,18,17,15,16,15,16,14,12,12,13,11,14,11,11,10,11,20,37,46,61,59,107,192,158,103,82,67,61,51,43,41,41,40,33,30,27,28,24,24,24,22,21,20,19,18,18,9,9,13,12,15,20,26,23,19,18,19,16,17,13,16,19,17,15,14,12,11,13,12,10,12,12,12,10,11,15,321,10,2651,192,50.56666666666667,0.2633680555555556,55,23.133333333333333,0.4206060606060606,26,14.666666666666666,0.5641025641025641,694,1517,440
17,30,26,24,17,16,15,14,15,14,15,12,11,14,11,12,12,11,12,9,11,11,13,10,9,10,10,11,12,10,36,68,78,83,70,52,42,51,78,68,47,40,37,36,34,30,30,31,30,28,23,24,20,19,19,20,15,15,16,14,12,14,15,19,16,13,15,20,33,31,21,21,25,27,26,33,37,51,65,61,50,41,34,27,24,21,20,19,21,19,323,10,2399,83,38.46666666666667,0.4634538152610442,30,13.8,0.46,65,27.7,0.42615384615384616,414,1154,831
53,93,77,65,59,57,95,118,104,87,87,68,57,57,66,59,47,42,36,32,30,27,24,27,23,21,22,19,18,17,377,688,484,290,192,147,129,115,97,86,78,69,67,59,54,49,49,44,39,38,36,34,32,29,31,28,24,26,23,23,22,36,36,35,31,32,34,39,39,41,44,56,59,58,51,46,44,45,45,46,48,42,34,25,25,23,21,19,18,17,349,11,6135,688,114.56666666666666,0.16652131782945737,118,52.9,0.4483050847457627,59,37.03333333333333,0.6276836158192091,1587,3437,1111
