kernel_size,poolsize,Dropout,Activation,Filters,val_loss,val_acc,val_auc_pr
2,2,0.1,relu,10,0.2303464114665985,0.90609210729599,0.9665756225585938
2,2,0.1,relu,32,0.1830855906009674,0.9277695417404175,0.9772764444351196
2,2,0.1,relu,64,0.1657104790210724,0.935770571231842,0.9795867800712585
2,2,0.1,relu,80,0.16064101457595825,0.939092755317688,0.9818291068077087
2,2,0.1,relu,120,0.1607060432434082,0.9382345080375671,0.982209324836731
2,2,0.1,sigmoid,10,0.3539135158061981,0.8531858921051025,0.9176602363586426
2,2,0.1,sigmoid,32,0.3479093909263611,0.8555529117584229,0.9202064275741577
2,2,0.1,sigmoid,64,0.31340256333351135,0.8692570924758911,0.9381126165390015
2,2,0.1,sigmoid,80,0.3087960481643677,0.8691463470458984,0.938636064529419
2,2,0.1,sigmoid,120,0.2985512614250183,0.8789745569229126,0.9454679489135742
2,2,0.1,tanh,10,0.26702946424484253,0.8943120837211609,0.9552038908004761
2,2,0.1,tanh,32,0.2361212968826294,0.9074209928512573,0.9612099528312683
2,2,0.1,tanh,64,0.2304382473230362,0.9109923839569092,0.9640166759490967
2,2,0.1,tanh,80,0.22803819179534912,0.9115599393844604,0.963571310043335
2,2,0.1,tanh,120,0.2205193042755127,0.9189795255661011,0.9667495489120483
2,2,0.2,relu,10,0.22833289206027985,0.9102033376693726,0.967488706111908
2,2,0.2,relu,32,0.18552403151988983,0.9274926781654358,0.9762226343154907
2,2,0.2,relu,64,0.17121589183807373,0.9330989122390747,0.979358434677124
2,2,0.2,relu,80,0.17144794762134552,0.9325314164161682,0.9760857224464417
2,2,0.2,relu,120,0.15981797873973846,0.9375977516174316,0.980438232421875
2,2,0.2,sigmoid,10,0.3924771845340729,0.8398970365524292,0.8970814347267151
2,2,0.2,sigmoid,32,0.33714574575424194,0.8580584526062012,0.928083062171936
2,2,0.2,sigmoid,64,0.33021387457847595,0.8596642017364502,0.9294525980949402
2,2,0.2,sigmoid,80,0.3282996416091919,0.8602040410041809,0.9301785230636597
2,2,0.2,sigmoid,120,0.32001248002052307,0.8631248474121094,0.9338192939758301
2,2,0.2,tanh,10,0.30527016520500183,0.8803034424781799,0.9405156970024109
2,2,0.2,tanh,32,0.2534797489643097,0.9021192789077759,0.9596017599105835
2,2,0.2,tanh,64,0.24613259732723236,0.9076563119888306,0.9621848464012146
2,2,0.2,tanh,80,0.23798306286334991,0.9105355739593506,0.96148282289505
2,2,0.2,tanh,120,0.2529485523700714,0.9014963507652283,0.9536679983139038
2,2,0.3,relu,10,0.233266681432724,0.9061890244483948,0.96451336145401
2,2,0.3,relu,32,0.1889209896326065,0.9254440069198608,0.9769505858421326
2,2,0.3,relu,64,0.17522992193698883,0.9327528476715088,0.978943943977356
2,2,0.3,relu,80,0.17434296011924744,0.930607259273529,0.9797201156616211
2,2,0.3,relu,120,0.1662917137145996,0.9355629086494446,0.9814367294311523
2,2,0.3,sigmoid,10,0.38394176959991455,0.8379867672920227,0.9027783870697021
2,2,0.3,sigmoid,32,0.35495951771736145,0.8514970541000366,0.9175305962562561
2,2,0.3,sigmoid,64,0.35009512305259705,0.852992057800293,0.9190084934234619
2,2,0.3,sigmoid,80,0.347605437040329,0.8533381223678589,0.9201346039772034
2,2,0.3,sigmoid,120,0.33305901288986206,0.8585014343261719,0.928596019744873
2,2,0.3,tanh,10,0.326762318611145,0.8644813895225525,0.9344955086708069
2,2,0.3,tanh,32,0.2672158479690552,0.8967207074165344,0.9530242681503296
2,2,0.3,tanh,64,0.25897589325904846,0.8990462422370911,0.9537968635559082
2,2,0.3,tanh,80,0.2558445632457733,0.9030606150627136,0.9540936946868896
2,2,0.3,tanh,120,0.2432090938091278,0.9107985496520996,0.9620169401168823
2,3,0.1,relu,10,0.30628037452697754,0.8752647638320923,0.9431985020637512
2,3,0.1,relu,32,0.21938244998455048,0.9126535058021545,0.9685331583023071
2,3,0.1,relu,64,0.18719780445098877,0.9278110861778259,0.9757744669914246
2,3,0.1,relu,80,0.19926179945468903,0.9191318154335022,0.9695070385932922
2,3,0.1,relu,120,0.17912809550762177,0.9301089644432068,0.9760406017303467
2,3,0.1,sigmoid,10,0.34591513872146606,0.8562450408935547,0.9272632002830505
2,3,0.1,sigmoid,32,0.31712040305137634,0.8704198598861694,0.938069760799408
