kernel_size,poolsize,Dropout_1,Activation_conv2D,Filters,Dropout_2,Hidden_neurons,Dense_Activation,val_loss,val_acc,val_auc_pr
3,3,0.1,relu,64,0.1,6,relu,0.06586325913667679,0.9755263924598694,0.9947861433029175
3,3,0.1,relu,64,0.1,12,relu,0.0622522346675396,0.9775335192680359,0.9950872659683228
3,3,0.1,relu,64,0.1,24,relu,0.042497869580984116,0.9847455024719238,0.9973801970481873
3,3,0.1,relu,64,0.1,32,relu,0.047924306243658066,0.9821707606315613,0.9966656565666199
3,3,0.1,relu,64,0.1,64,relu,0.05345544219017029,0.979637622833252,0.9957373738288879
3,3,0.1,relu,64,0.1,6,sigmoid,0.10053490102291107,0.9609224796295166,0.9898494482040405
3,3,0.1,relu,64,0.1,12,sigmoid,0.07439174503087997,0.9723287224769592,0.9942284226417542
3,3,0.1,relu,64,0.1,24,sigmoid,0.06808949261903763,0.9758309125900269,0.9958098530769348
3,3,0.1,relu,64,0.1,32,sigmoid,0.06411513686180115,0.9756232500076294,0.9951363801956177
3,3,0.1,relu,64,0.1,64,sigmoid,0.059593651443719864,0.97709059715271,0.9949319362640381
3,3,0.1,relu,64,0.1,6,tanh,0.07461059093475342,0.973034679889679,0.9934565424919128
3,3,0.1,relu,64,0.1,12,tanh,0.07382496446371078,0.9730070233345032,0.9936565160751343
3,3,0.1,relu,64,0.1,24,tanh,0.07155777513980865,0.9735745787620544,0.9933063983917236
3,3,0.1,relu,64,0.1,32,tanh,0.07229488343000412,0.9733807444572449,0.9936734437942505
3,3,0.1,relu,64,0.1,64,tanh,0.08590871840715408,0.9674561619758606,0.9917986392974854
3,3,0.1,relu,64,0.2,6,relu,0.08176925778388977,0.9680375456809998,0.9911395907402039
3,3,0.1,relu,64,0.2,12,relu,0.0577743761241436,0.9788209199905396,0.9945415258407593
3,3,0.1,relu,64,0.2,24,relu,0.04486647993326187,0.9841225743293762,0.9974837899208069
3,3,0.1,relu,64,0.2,32,relu,0.048673007637262344,0.9823092222213745,0.9962826371192932
3,3,0.1,relu,64,0.2,64,relu,0.04762107506394386,0.9831951260566711,0.9968618750572205
3,3,0.1,relu,64,0.2,6,sigmoid,0.10309511423110962,0.959026038646698,0.990423321723938
3,3,0.1,relu,64,0.2,12,sigmoid,0.08496913313865662,0.9667916893959045,0.9926695823669434
3,3,0.1,relu,64,0.2,24,sigmoid,0.0745754987001419,0.9715673923492432,0.993678867816925
3,3,0.1,relu,64,0.2,32,sigmoid,0.06809014081954956,0.9747373461723328,0.9954488277435303
3,3,0.1,relu,64,0.2,64,sigmoid,0.06539949774742126,0.9749172925949097,0.9949093461036682
3,3,0.1,relu,64,0.2,6,tanh,0.08070243149995804,0.9699478149414062,0.9923632144927979
3,3,0.1,relu,64,0.2,12,tanh,0.08003365993499756,0.9709721803665161,0.9934004545211792
3,3,0.1,relu,64,0.2,24,tanh,0.07924913614988327,0.9723287224769592,0.9933434724807739
3,3,0.1,relu,64,0.2,32,tanh,0.08012069016695023,0.9698370695114136,0.9921168088912964
3,3,0.1,relu,64,0.2,64,tanh,0.08185216039419174,0.9694079756736755,0.9928044080734253
3,3,0.1,relu,64,0.3,6,relu,0.08543844521045685,0.9665979146957397,0.992564857006073
3,3,0.1,relu,64,0.3,12,relu,0.06914612650871277,0.9730485677719116,0.9934907555580139
3,3,0.1,relu,64,0.3,24,relu,0.04767603799700737,0.983208954334259,0.9964188933372498
3,3,0.1,relu,64,0.3,32,relu,0.04815823957324028,0.9833889603614807,0.996999204158783
3,3,0.1,relu,64,0.3,64,relu,0.04440990835428238,0.9837350249290466,0.9968904256820679
3,3,0.1,relu,64,0.3,6,sigmoid,0.14120090007781982,0.9491424560546875,0.9876449108123779
3,3,0.1,relu,64,0.3,12,sigmoid,0.09409191459417343,0.9629988670349121,0.9914148449897766
3,3,0.1,relu,64,0.3,24,sigmoid,0.07724858075380325,0.969546377658844,0.9926548004150391
3,3,0.1,relu,64,0.3,32,sigmoid,0.07452813535928726,0.9708476066589355,0.993723452091217
3,3,0.1,relu,64,0.3,64,sigmoid,0.06688002496957779,0.9739760160446167,0.9945591688156128
3,3,0.1,relu,64,0.3,6,tanh,0.08339355885982513,0.9687850475311279,0.992050290107727
3,3,0.1,relu,64,0.3,12,tanh,0.08047458529472351,0.9715397357940674,0.9927805662155151
3,3,0.1,relu,64,0.3,24,tanh,0.07814551889896393,0.9721903204917908,0.992946982383728
3,3,0.1,relu,64,0.3,32,tanh,0.09271780401468277,0.9643831253051758,0.9911007881164551
3,3,0.1,relu,64,0.3,64,tanh,0.07334276288747787,0.9742113351821899,0.9939396977424622
3,3,0.1,relu,80,0.1,6,relu,0.05911951884627342,0.9783087372779846,0.9956259727478027
3,3,0.1,relu,80,0.1,12,relu,0.05715234577655792,0.9793192148208618,0.9954727292060852
3,3,0.1,relu,80,0.1,24,relu,0.04477199912071228,0.9839980006217957,0.996717095375061
3,3,0.1,relu,80,0.1,32,relu,0.04566036909818649,0.9824753403663635,0.9963358044624329
3,3,0.1,relu,80,0.1,64,relu,0.04346754401922226,0.9840118288993835,0.9973611235618591
3,3,0.1,relu,80,0.1,6,sigmoid,0.09064484387636185,0.9658227562904358,0.9913909435272217
3,3,0.1,relu,80,0.1,12,sigmoid,0.07211054861545563,0.9721072316169739,0.9930813312530518
3,3,0.1,relu,80,0.1,24,sigmoid,0.06392359733581543,0.9764814972877502,0.9956104159355164
3,3,0.1,relu,80,0.1,32,sigmoid,0.05948019400238991,0.9772566556930542,0.9952612519264221
3,3,0.1,relu,80,0.1,64,sigmoid,0.05671773850917816,0.9786548018455505,0.9959114789962769
3,3,0.1,relu,80,0.1,6,tanh,0.07272734493017197,0.9729101061820984,0.9929545521736145
3,3,0.1,relu,80,0.1,12,tanh,0.06573962420225143,0.9768691062927246,0.9943659901618958
3,3,0.1,relu,80,0.1,24,tanh,0.07524184137582779,0.971595048904419,0.9920638799667358
